voter,name,votes,first_vote,latest_vote,avg_weight,num_delegated,percentage_delegated,num_dao_votes,total_gitcoin_donations,dex_trades_l60d,nft_mints_l60d,nfts_sold_l60d,nfts_bought_l60d,num_proposals,voting_frequency_ratio
0x5e94fb9855ad0bbeb7928da44110dc0cf9489bf4,kosoga.eth,18,2023-02-12,2023-10-17,4.7,5.093679724949716,0.0,0,0.0,0,29,0,0,0,5.391148808976302e-05
0x47ce8d86612fac7aae8f97cbab5f8e9a0380d328,ercone.eth,18,2023-02-12,2024-01-19,9.13,0.5022056873218047,0.0,7,0.0,0,9,1,1,0,0.0001004541918148
0xd70f88dc48d62fc86137ea8a8c4dc9e6b46528b2,wycliffee.eth,18,2023-02-16,2023-12-03,0.04,0.0424210559176853,0.0,0,0.0,0,1,0,0,0,0.0001268896060716
0x8e8d616580d9c786d13ddf1cd694200d888afc00,<nil>,18,2023-02-16,2024-01-19,19.91,20.077269544788088,0.0,0,0.0,0,1,0,0,0,0.000174366680664
0xe8371889a00be2eb89a11e93f6276234367ef10c,<nil>,18,2023-02-15,2023-12-05,2.25,0.0,0.0,0,0.0,0,0,0,0,0,0.0001069035423511
0x5ef0bf880310622c8a719651265a914222faf7a4,<nil>,18,2023-02-15,2023-12-05,2.91,0.0,0.0,0,0.0,0,0,0,0,0,0.0001069035423511
0x97c15532cf71815c9d89a0eb542078befe1ee622,zlatamoon1.eth,18,2023-02-13,2023-11-28,17.53,137.35578630000174,1.490567663944753e-06,0,16.647214326249994,0,2,0,0,0,7.134689803152308e-05
0x13c71bca0aca1170e69599100e92879ff116047c,<nil>,18,2023-02-15,2023-11-25,5.61,5.811245856850058,0.0,0,0.0,0,2,0,0,0,9.04378062601735e-05
0xd64e5de2d257f9a093cc108f9420f449657b07f1,sinjulmsbh.eth,18,2023-02-11,2024-08-24,0.84,4.411325632938206,0.0,2,2.229760391250001,15,57,0,0,0,0.0001267347917328
0x4b9ce3291e06324bcc9db665df807fcc24ea592f,<nil>,18,2023-10-13,2024-01-19,49.48,0.0,0.0,0,0.0,0,0,0,0,0,0.0001763059372395
0xf5945e41820a399bd05c62232f421b0bfb0e8504,subscribe.onlyfanz.eth,18,2023-02-15,2023-11-07,4.85,5.134572676678934,0.0,0,0.0,0,0,0,0,0,6.770738240063048e-05
0xcdef60555f963729d7aa5363d04e46379a5722bb,xkenny.eth,18,2023-02-12,2024-04-13,28.18,24.078514813436065,0.0,0,72.08140500000002,2,27,0,0,0,0.0001394747329111
0xfeb89518a22cd7bd5e9e8ef8834f37e446a85f03,sktzeus.eth,18,2023-02-16,2023-12-01,14.61,0.0,0.0,0,0.0,0,1,0,0,0,0.0001096824443404
0x5d678eb616cd20df2e6aed3df8af7b679fc5dcdc,<nil>,18,2023-02-11,2023-11-27,189.93,0.0060416089283838,0.0,0,0.0,0,1,0,1,0,5.1904374847207896e-05
0xb529ae5cc7ededd6b6032dda0c320a764cd89403,nicha88.eth,18,2023-03-25,2024-08-25,2.96,4.97428918912357,0.0,0,0.0,5,60,0,3,0,0.0001773394171742
0x6422378aac081f2ad01673a0c6b083e2f7ac74a0,<nil>,18,2023-03-25,2023-11-26,18.36,0.0,0.0,0,0.0,2,8,0,0,0,5.12421708289556e-05
0xe8ace29bea5bcc458e56f90ae4de864195e80dbb,<nil>,18,2023-05-22,2024-03-03,7.66,13.516912802685592,0.0,0,0.0,0,10,0,0,0,0.0001536776421366
0xbaaff1035690b3399261ccf0d0b9afa304ec812c,themansocool.eth,18,2023-02-12,2024-02-11,39.15,0.0,0.0,2,1.5129502499999996,1,3,1,0,0,0.0001291537279652
0x2cc8e16afefc8819fa51bd6206632d97a306f832,rybus.eth,18,2023-02-13,2023-11-27,14.62,0.0,0.0,0,0.0,0,0,0,0,0,6.484568965967702e-05
0x3f604eef7a7fcc2c66668e7ecfcace688aca0e69,bokkor.eth,18,2023-02-15,2023-12-02,3.17,3.348990985896147,0.0,0,0.0,0,1,0,0,0,0.0001268896060716
0x218345e41a7a2133dc1ca67736038667ab03f0a7,tiknizyan.eth,18,2023-02-16,2023-12-01,15.14,0.0,0.0,0,0.0,0,2,0,0,0,0.0001096824443404
0xee9318c697d60dd6af1aa33feb88679d73515fb2,emenike.eth,18,2023-02-13,2023-11-27,15.33,0.0,0.0,0,0.0,0,0,0,0,0,6.484568965967702e-05
0x8035f95377a515d64bc37ecd94ffee13ccfb22d7,0xamore.eth,18,2023-02-15,2023-10-23,5.85,0.0,0.0,0,0.0,1,7,0,0,0,6.145358855480545e-05
0x2d5dfd42443f572367ba966a5888f00909f787fc,<nil>,18,2023-03-30,2024-01-24,131.68,152.3558912090951,1.653346909985684e-06,0,0.0,1,0,0,0,0,0.0001047666303531
0xe53ba159affed1dcee77f04bdfd7bb8e7e4bce0f,<nil>,18,2023-02-12,2023-11-30,0.35,0.0,0.0,0,0.0,0,0,0,0,0,6.391271580883902e-05
0x1dedadeae644c2def1349fb93c9be97c62be60ee,<nil>,18,2023-05-02,2023-11-27,1.88,1.8801703802321277,0.0,0,0.0,5,3,0,0,0,0.0001313359395577
0x632865c0c793b8a009059a70d02b1cccc4da3c8a,bayisa.eth,18,2023-02-14,2023-12-01,5.09,5.371379233888188,0.0,0,0.0,0,1,0,0,0,0.0001268896060716
0xeb2233cd369c789f6cd53c5c80a913b0d3b6bc58,misternftister.eth,18,2023-03-28,2023-11-26,3.84,5.379835952718008,0.0,2,0.0,0,1,0,0,0,5.253824969011967e-05
0x53dc4d32df654fd5bf60102133951b9b66c4cb9b,<nil>,18,2023-10-13,2024-01-19,4.19,0.0,0.0,0,0.0,1,1,0,0,0,0.0001763059372395
0x1e9a80128c041a7bed7e24fd970b411614ee7a98,nexus2024.eth,18,2023-02-14,2023-11-26,14.29,5.592888092108677,0.0,0,0.0,0,0,0,0,0,6.263961244908494e-05
0x6800ee850d70b9bca70ff39b3aae1e95207ac065,<nil>,18,2023-04-29,2023-10-24,1.15,1.1462727434612252,0.0,0,0.0,0,68,0,0,0,0.0001051339191079
0x7373734f4c65912a21af8268177c7369c2e69df3,<nil>,18,2023-05-03,2024-03-04,458.68,1.0,0.0,0,0.0,1,0,0,0,0,9.896128403982287e-05
0x304931189c427338af66fa78226e4ed23890f9cb,<nil>,18,2023-02-15,2023-12-05,0.95,0.0,0.0,0,0.0,0,0,0,0,0,0.0001069035423511
0xbf28b521e82c66d562a3dd2b951692bdecf68988,<nil>,18,2023-04-29,2023-10-24,1.19,1.1863813420772775,0.0,0,0.0,0,59,0,0,0,0.0001051339191079
